Driver ID;Type;Weekly Hours;Mon;Tue;Wed;Thu;Fri;Sat
FTE057;FTE;49,50;12:15-22:45 (2er);17:30-22:00 (1er);12:00-22:15 (2er);11:45-21:15 (2er);08:45-21:45 (2er (Split));08:45-19:00 (2er)
FTE058;FTE;49,50;12:15-22:45 (2er);17:30-22:00 (1er);12:00-22:15 (2er);10:45-21:00 (2er);08:00-22:00 (2er (Split));09:00-19:00 (2er)
FTE060;FTE;49,50;05:00-19:45 (3er);;04:45-19:45 (3er);15:15-19:45 (1er);09:00-22:00 (2er (Split));09:00-19:30 (2er)
FTE061;FTE;49,50;05:00-09:30 (1er);04:45-19:30 (3er);;04:45-19:45 (3er);10:30-21:00 (2er);09:00-19:30 (2er)
FTE062;FTE;49,50;04:45-19:45 (3er);;04:45-19:30 (3er);15:30-20:00 (1er);10:30-21:00 (2er);09:00-18:45 (2er)
FTE063;FTE;49,50;04:45-20:00 (3er);;04:45-19:30 (3er);15:30-20:00 (1er);10:30-21:00 (2er);09:00-19:00 (2er)
FTE064;FTE;49,50;04:45-18:45 (2er (Split));05:45-10:15 (1er);05:30-15:00 (2er);04:45-18:30 (2er (Split));08:00-17:30 (2er);05:30-15:30 (2er)
FTE065;FTE;49,50;04:45-14:45 (2er);04:45-19:30 (3er);;08:45-19:15 (2er);12:00-22:15 (2er);09:15-19:00 (2er)
FTE066;FTE;49,50;05:00-19:00 (2er (Split));06:00-10:30 (1er);05:30-15:00 (2er);04:45-18:30 (2er (Split));08:00-17:30 (2er);05:00-14:30 (2er)
FTE067;FTE;49,50;05:00-19:00 (2er (Split));06:00-10:30 (1er);05:30-15:00 (2er);05:00-19:00 (2er (Split));08:00-17:30 (2er);05:00-14:30 (2er)
FTE068;FTE;49,50;05:00-19:00 (2er (Split));;05:30-15:00 (2er);05:30-18:30 (2er (Split));18:00-22:30 (1er);05:00-14:30 (2er)
FTE069;FTE;49,50;05:00-19:00 (2er (Split));;05:45-15:15 (2er);05:45-18:45 (2er (Split));18:15-22:45 (1er);05:00-14:30 (2er)
FTE070;FTE;49,50;05:15-19:15 (2er (Split));06:15-19:15 (2er (Split));08:30-13:00 (1er);05:15-19:15 (2er (Split));08:45-18:30 (2er);05:45-16:15 (2er)
FTE074;FTE;49,50;05:15-18:15 (2er (Split));05:15-19:15 (2er (Split));08:30-13:00 (1er);05:30-19:30 (2er (Split));08:45-19:15 (2er);07:30-17:00 (2er)
FTE077;FTE;49,50;05:30-18:30 (2er (Split));05:30-19:30 (2er (Split));08:30-13:00 (1er);05:30-19:30 (2er (Split));08:15-18:30 (2er);07:30-17:00 (2er)
FTE082;FTE;49,50;11:15-21:30 (2er);08:30-22:30 (2er (Split));17:45-22:15 (1er);12:00-22:00 (2er);13:00-22:30 (2er);10:00-19:45 (2er)
FTE086;FTE;49,50;05:00-09:30 (1er);04:45-18:45 (2er (Split));05:45-19:00 (2er (Split));06:00-19:00 (2er (Split));08:30-18:45 (2er);05:45-18:45 (2er (Split))
FTE088;FTE;49,50;04:45-17:45 (2er (Split));05:00-19:00 (2er (Split));08:30-13:00 (1er);05:30-15:15 (2er);08:45-18:45 (2er);06:00-20:00 (2er (Split))
FTE089;FTE;49,50;05:15-15:15 (2er);05:00-19:00 (2er (Split));08:30-13:00 (1er);05:30-15:15 (2er);08:45-18:45 (2er);06:00-20:00 (2er (Split))
FTE090;FTE;49,50;05:00-09:30 (1er);05:00-19:00 (2er (Split));06:00-20:00 (2er (Split));07:00-16:30 (2er);06:00-15:30 (2er);06:00-19:00 (2er (Split))
FTE091;FTE;49,50;05:00-09:30 (1er);05:15-19:15 (2er (Split));07:00-16:30 (2er);04:45-17:45 (2er (Split));06:00-15:30 (2er);06:00-19:00 (2er (Split))
FTE095;FTE;49,50;05:15-09:45 (1er);05:30-18:30 (2er (Split));05:30-18:45 (2er (Split));05:45-19:45 (2er (Split));10:15-20:00 (2er);07:00-20:00 (2er (Split))
FTE098;FTE;49,50;08:30-19:00 (2er);08:30-19:00 (2er);08:30-19:00 (2er);06:00-16:15 (2er);07:00-21:00 (2er (Split));09:00-13:30 (1er)
FTE099;FTE;49,50;08:45-18:45 (2er);08:30-19:00 (2er);08:45-19:15 (2er);08:30-19:00 (2er);07:00-21:00 (2er (Split));09:00-13:30 (1er)
FTE100;FTE;49,50;08:45-19:15 (2er);08:30-19:00 (2er);08:45-19:15 (2er);08:45-19:15 (2er);07:00-21:00 (2er (Split));09:00-13:30 (1er)
FTE101;FTE;49,50;08:45-18:45 (2er);08:30-19:00 (2er);08:45-19:15 (2er);08:45-19:15 (2er);07:00-21:00 (2er (Split));09:00-13:30 (1er)
FTE102;FTE;49,50;08:45-18:45 (2er);08:30-19:00 (2er);06:00-19:00 (2er (Split));10:15-20:00 (2er);08:15-21:15 (2er (Split));09:00-13:30 (1er)
FTE103;FTE;49,50;09:00-19:30 (2er);08:45-18:30 (2er);05:30-15:00 (2er);08:15-18:45 (2er);08:15-21:15 (2er (Split));09:00-13:30 (1er)
FTE104;FTE;49,50;09:15-19:15 (2er);08:45-19:15 (2er);07:15-17:30 (2er);05:45-19:45 (2er (Split));08:15-21:15 (2er (Split));09:00-13:30 (1er)
FTE105;FTE;49,50;04:45-14:15 (2er);08:45-19:15 (2er);07:15-17:30 (2er);05:45-19:45 (2er (Split));08:15-21:15 (2er (Split));09:00-13:30 (1er)
FTE106;FTE;49,50;07:45-21:45 (2er (Split));08:45-18:30 (2er);08:30-21:30 (2er (Split));08:30-22:30 (2er (Split));12:45-22:30 (2er);10:00-14:30 (1er)
FTE107;FTE;49,50;08:15-21:30 (2er (Split));08:30-22:30 (2er (Split));10:15-20:15 (2er);08:30-22:30 (2er (Split));12:45-22:30 (2er);10:00-14:30 (1er)
FTE108;FTE;49,50;10:30-21:00 (2er);08:15-22:45 (3er);13:00-22:30 (2er);;07:15-22:00 (3er);12:30-17:00 (1er)
FTE109;FTE;49,50;10:45-21:00 (2er);08:15-23:00 (3er);;07:00-20:15 (2er (Split));08:00-22:45 (3er);12:45-17:15 (1er)
FTE114;FTE;49,50;04:45-14:15 (2er);05:00-15:00 (2er);04:45-14:45 (2er);05:45-19:45 (2er (Split));08:30-22:30 (2er (Split));15:30-20:00 (1er)
FTE001;FTE;45,00;05:15-20:30 (3er);;05:30-20:30 (3er);12:15-22:15 (2er);12:00-22:15 (2er);
FTE002;FTE;45,00;05:15-20:15 (3er);;05:45-20:30 (3er);12:15-22:15 (2er);09:30-23:00 (2er (Split));
FTE006;FTE;45,00;06:00-20:45 (3er);12:00-22:00 (2er);;05:15-20:15 (3er);12:45-22:30 (2er);
FTE008;FTE;45,00;05:30-15:30 (2er);05:15-20:45 (3er);;06:45-21:45 (3er);12:00-22:15 (2er);
FTE013;FTE;45,00;07:30-22:30 (3er);;08:15-22:15 (2er (Split));12:00-22:00 (2er);14:45-19:15 (1er);06:15-20:15 (2er (Split))
FTE028;FTE;45,00;09:00-22:00 (2er (Split));17:30-22:00 (1er);12:00-22:00 (2er);12:15-16:45 (1er);06:15-20:15 (2er (Split));07:15-21:15 (2er (Split))
FTE032;FTE;45,00;05:45-15:45 (2er);06:30-21:45 (3er);;06:45-22:00 (3er);12:00-22:15 (2er);
FTE059;FTE;45,00;12:00-22:30 (2er);17:30-22:00 (1er);17:30-22:00 (1er);10:00-19:45 (2er);08:45-22:00 (2er (Split));09:00-19:00 (2er)
FTE071;FTE;45,00;05:15-19:15 (2er (Split));07:15-16:45 (2er);05:15-19:15 (2er (Split));;07:00-16:45 (2er);05:45-16:15 (2er)
FTE072;FTE;45,00;05:15-19:15 (2er (Split));;05:15-19:15 (2er (Split));07:15-16:45 (2er);07:00-16:45 (2er);05:45-16:15 (2er)
FTE073;FTE;45,00;05:15-18:30 (2er (Split));05:30-18:30 (2er (Split));05:30-19:15 (2er (Split));;08:45-19:15 (2er);07:30-17:00 (2er)
FTE075;FTE;45,00;05:30-19:30 (2er (Split));;05:30-19:15 (2er (Split));10:15-19:45 (2er);08:45-19:00 (2er);07:30-17:00 (2er)
FTE076;FTE;45,00;05:30-19:30 (2er (Split));;05:30-19:30 (2er (Split));10:15-19:45 (2er);08:15-18:30 (2er);07:30-17:00 (2er)
FTE078;FTE;45,00;12:30-22:30 (2er);12:00-22:00 (2er);10:15-20:30 (2er);;13:00-22:30 (2er);09:45-19:45 (2er)
FTE079;FTE;45,00;12:45-22:45 (2er);12:00-22:00 (2er);11:45-22:15 (2er);;13:00-22:30 (2er);09:45-19:45 (2er)
FTE080;FTE;45,00;13:00-22:45 (2er);;08:00-22:00 (2er (Split));11:45-22:00 (2er);13:00-22:30 (2er);10:00-20:00 (2er)
FTE081;FTE;45,00;13:00-23:00 (2er);;08:15-22:15 (2er (Split));11:45-22:00 (2er);13:00-22:30 (2er);10:00-20:00 (2er)
