driver_id,driver_type,day,duty_id,duty_start,duty_end,tour_ids,work_min,hours,days_worked
D_FTE563,FTE,4,T_9263fd7c1835,270,1080,T_4_270_4|T_4_540_6|T_4_810_4,810,49.5,4
D_PT564,PT,0,S_fd401e1af656,420,690,T_0_420_1,270,31.5,4
D_PT564,PT,1,S_c9d37be044e5,870,1140,T_1_870_10,270,31.5,4
D_PT564,PT,2,P_4b1e5df110d4,375,915,T_2_375_11|T_2_645_6,540,31.5,4
D_PT564,PT,4,T_cbeba5fe20bf,315,1125,T_4_315_2|T_4_585_3|T_4_855_2,810,31.5,4
D_FTE565,FTE,0,T_00e4b8ba1eb6,210,1050,T_0_210_1|T_0_495_11|T_0_780_3,810,49.5,4
D_FTE565,FTE,1,T_82933e8acce3,315,1140,T_1_315_4|T_1_600_6|T_1_870_3,810,49.5,4
D_FTE565,FTE,2,P_a5ffd2d6e71a,375,915,T_2_375_5|T_2_645_5,540,49.5,4
D_FTE565,FTE,4,T_77680c08d09f,315,1155,T_4_315_4|T_4_615_7|T_4_885_4,810,49.5,4
D_FTE566,FTE,0,T_d7b741969b08,270,1110,T_0_270_2|T_0_555_4|T_0_840_2,810,49.5,4
D_FTE566,FTE,1,T_0299d7f75cf5,330,1170,T_1_330_1|T_1_630_1|T_1_900_1,810,49.5,4
D_FTE566,FTE,2,P_084f063a617a,390,930,T_2_390_6|T_2_660_8,540,49.5,4
D_FTE566,FTE,4,T_65276c5cee00,270,1080,T_4_270_9|T_4_540_2|T_4_810_5,810,49.5,4
D_FTE567,FTE,0,T_18c4d972051c,315,1125,T_0_315_3|T_0_585_8|T_0_855_2,810,45.0,4
D_FTE567,FTE,1,T_78c930f66a46,375,1200,T_1_375_4|T_1_660_6|T_1_930_4,810,45.0,4
D_FTE567,FTE,2,S_f375961466bd,585,855,T_2_585_9,270,45.0,4
D_FTE567,FTE,4,T_c2cb301cb056,315,1125,T_4_315_1|T_4_585_4|T_4_855_5,810,45.0,4
D_FTE568,FTE,0,T_b12966e83f4b,330,1140,T_0_330_1|T_0_600_3|T_0_870_1,810,45.0,4
D_FTE568,FTE,1,T_254a6b368555,375,1185,T_1_375_10|T_1_645_3|T_1_915_2,810,45.0,4
D_FTE568,FTE,2,S_fbe302a22e09,480,750,T_2_480_5,270,45.0,4
D_FTE568,FTE,4,T_c050b12100b9,375,1200,T_4_375_1|T_4_660_1|T_4_930_1,810,45.0,4
D_PT569,PT,0,T_a77a01918539,315,1155,T_0_315_1|T_0_615_1|T_0_885_1,810,36.0,4
D_PT569,PT,1,T_065efb24cde6,390,1215,T_1_390_1|T_1_675_2|T_1_945_2,810,36.0,4
D_PT569,PT,2,S_c25817ca36f2,675,945,T_2_675_10,270,36.0,4
D_PT569,PT,4,S_ccfaf8a5e004,405,675,T_4_405_6,270,36.0,4
D_PT570,PT,0,T_065808926a49,330,1155,T_0_330_7|T_0_615_9|T_0_885_10,810,36.0,4
D_PT570,PT,1,S_32d8190cb24f,720,990,T_1_720_5,270,36.0,4
D_PT570,PT,2,S_9bb59e71713d,330,600,T_2_330_4,270,36.0,4
D_PT570,PT,4,T_9a9d4ed293a1,375,1215,T_4_375_2|T_4_675_4|T_4_945_11,810,36.0,4
D_FTE571,FTE,0,T_89271f5d6f32,330,1170,T_0_330_3|T_0_630_1|T_0_900_3,810,40.5,4
D_FTE571,FTE,1,S_2434b763626c,825,1095,T_1_825_1,270,40.5,4
D_FTE571,FTE,2,P_064ef5667ee7,390,945,T_2_390_11|T_2_675_11,540,40.5,4
D_FTE571,FTE,4,T_d483d086babd,285,1110,T_4_285_2|T_4_555_5|T_4_840_1,810,40.5,4
D_PT572,PT,0,T_51e8a7ea297b,345,1200,T_0_345_6|T_0_645_1|T_0_930_2,810,31.5,4
D_PT572,PT,1,S_3f18cf5603ca,870,1140,T_1_870_6,270,31.5,4
D_PT572,PT,2,S_699cf6a4c675,405,675,T_2_405_6,270,31.5,4
D_PT572,PT,4,P_8b6ac698bb84,285,855,T_4_285_3|T_4_585_1,540,31.5,4
D_FTE573,FTE,0,P_32884abbac4a,390,930,T_0_390_1|T_0_660_6,540,45.0,4
D_FTE573,FTE,1,T_deecd132c56b,270,1080,T_1_270_1|T_1_540_3|T_1_810_10,810,45.0,4
D_FTE573,FTE,2,P_83ea103a288a,300,855,T_2_300_4|T_2_585_2,540,45.0,4
D_FTE573,FTE,4,T_718bf7a53373,300,1155,T_4_300_2|T_4_615_2|T_4_885_5,810,45.0,4
D_FTE574,FTE,0,T_73c199ac17d8,210,1020,T_0_210_2|T_0_480_2|T_0_750_2,810,40.5,4
D_FTE574,FTE,1,T_43b637119350,240,1050,T_1_240_2|T_1_510_3|T_1_780_1,810,40.5,4
D_FTE574,FTE,2,P_f0e4093e3dd1,360,900,T_2_360_5|T_2_630_11,540,40.5,4
D_FTE574,FTE,4,S_d6b98bf82d50,975,1245,T_4_975_1,270,40.5,4
D_FTE575,FTE,0,T_94a74cc383c7,255,1080,T_0_255_1|T_0_540_3|T_0_810_5,810,45.0,4
D_FTE575,FTE,1,T_215284b23356,375,1200,T_1_375_2|T_1_645_6|T_1_930_10,810,45.0,4
D_FTE575,FTE,2,S_fcee3f911491,435,705,T_2_435_1,270,45.0,4
D_FTE575,FTE,4,T_0636376e92df,345,1155,T_4_345_10|T_4_615_4|T_4_885_1,810,45.0,4
D_PT576,PT,0,T_75f361fcee31,300,1125,T_0_300_5|T_0_585_7|T_0_855_4,810,36.0,4
D_PT576,PT,1,P_b063f7808b3b,360,915,T_1_360_6|T_1_645_4,540,36.0,4
D_PT576,PT,2,P_339145bfc1cd,240,795,T_2_240_5|T_2_525_5,540,36.0,4
D_PT576,PT,4,S_86b44b723066,900,1170,T_4_900_6,270,36.0,4
D_FTE577,FTE,0,T_deb6a71035ed,330,1155,T_0_330_6|T_0_615_5|T_0_885_3,810,45.0,4
D_FTE577,FTE,1,P_2e3868aab0fc,375,915,T_1_375_1|T_1_645_1,540,45.0,4
D_FTE577,FTE,2,P_6d010da61189,405,960,T_2_405_5|T_2_690_1,540,45.0,4
D_FTE577,FTE,4,T_d0ef926ea106,300,1125,T_4_300_4|T_4_585_2|T_4_855_3,810,45.0,4
D_PT578,PT,0,T_a60d69beed06,360,1215,T_0_360_1|T_0_660_2|T_0_945_2,810,36.0,4
D_PT578,PT,1,S_36042ae25462,675,945,T_1_675_3,270,36.0,4
D_PT578,PT,2,P_ae702802f69f,330,870,T_2_330_5|T_2_600_2,540,36.0,4
D_PT578,PT,4,P_6890f522dfa4,360,915,T_4_360_3|T_4_645_5,540,36.0,4
D_PT579,PT,0,S_893323af7357,1170,1439,T_0_1170_2,269,22.5,4
D_PT579,PT,1,S_8e2878a7d158,675,945,T_1_675_6,270,22.5,4
D_PT579,PT,2,P_ebdfe4ddd6ed,255,795,T_2_255_4|T_2_525_4,540,22.5,4
D_PT579,PT,4,S_88b84c498697,825,1095,T_4_825_1,270,22.5,4
D_PT580,PT,1,T_66c3fedf7abf,330,1155,T_1_330_6|T_1_615_3|T_1_885_2,810,36.0,3
D_PT580,PT,2,P_21ba5b234b36,405,945,T_2_405_9|T_2_675_2,540,36.0,3
D_PT580,PT,4,T_0db860f710d9,360,1170,T_4_360_12|T_4_630_2|T_4_900_5,810,36.0,3
D_PT581,PT,1,T_186e21191071,255,1065,T_1_255_1|T_1_525_2|T_1_795_2,810,27.0,3
D_PT581,PT,2,P_0a5b457aca63,300,840,T_2_300_5|T_2_570_7,540,27.0,3
D_PT581,PT,4,S_7186465aa391,975,1245,T_4_975_5,270,27.0,3
D_PT582,PT,1,T_412a2c5ab824,240,1065,T_1_240_3|T_1_525_5|T_1_795_1,810,36.0,3
D_PT582,PT,2,P_e98f99c79db9,360,900,T_2_360_3|T_2_630_3,540,36.0,3
D_PT582,PT,4,T_6f455f0c9c8e,330,1185,T_4_330_2|T_4_645_1|T_4_915_2,810,36.0,3
D_PT583,PT,1,T_752292cc0ff9,300,1110,T_1_300_3|T_1_570_2|T_1_840_10,810,36.0,3
D_PT583,PT,2,P_d22ee6412d9c,375,930,T_2_375_9|T_2_660_1,540,36.0,3
D_PT583,PT,4,T_6f6a4bfb40dc,300,1125,T_4_300_3|T_4_585_5|T_4_855_4,810,36.0,3
D_PT584,PT,1,T_7705ebb7922d,300,1125,T_1_300_4|T_1_585_8|T_1_855_10,810,31.5,3
D_PT584,PT,2,P_eb493c3149d1,375,930,T_2_375_6|T_2_660_3,540,31.5,3
D_PT584,PT,4,P_fabddcc08420,360,915,T_4_360_2|T_4_645_6,540,31.5,3
D_PT585,PT,1,T_42d42bc3ddf9,330,1140,T_1_330_5|T_1_600_5|T_1_870_1,810,31.5,3
D_PT585,PT,2,S_b80dc83869b1,390,660,T_2_390_9,270,31.5,3
D_PT585,PT,4,T_6e95bfc23765,270,1080,T_4_270_5|T_4_540_3|T_4_810_1,810,31.5,3
D_PT586,PT,1,P_2a70d8b232c5,360,900,T_1_360_3|T_1_630_5,540,22.5,3
D_PT586,PT,2,P_67a71ab31f9a,330,870,T_2_330_10|T_2_600_9,540,22.5,3
D_PT586,PT,4,S_9680c0e81d46,270,540,T_4_270_3,270,22.5,3
D_PT587,PT,1,P_d7db38243132,375,930,T_1_375_11|T_1_660_7,540,31.5,3
D_PT587,PT,2,P_6f259d11bdd0,240,780,T_2_240_1|T_2_510_3,540,31.5,3
D_PT587,PT,4,T_67903a4d5cd7,360,1170,T_4_360_9|T_4_630_3|T_4_900_4,810,31.5,3
D_PT588,PT,1,S_8393d3bbe5d4,690,960,T_1_690_6,270,18.0,3
D_PT588,PT,2,P_ab4c31bb8b04,315,855,T_2_315_3|T_2_585_1,540,18.0,3
D_PT588,PT,4,S_b3a66d13d4ef,780,1050,T_4_780_3,270,18.0,3
D_PT589,PT,1,T_ef0ef64d0f89,210,1020,T_1_210_2|T_1_480_7|T_1_750_4,810,36.0,3
D_PT589,PT,2,P_f0f7f0e3076e,390,930,T_2_390_8|T_2_660_6,540,36.0,3
D_PT589,PT,4,T_62d6b6000681,360,1170,T_4_360_13|T_4_630_1|T_4_900_3,810,36.0,3
D_PT590,PT,1,T_35dd7fb3fdeb,240,1065,T_1_240_4|T_1_525_1|T_1_795_3,810,27.0,3
D_PT590,PT,2,S_5d40dae5f28f,375,645,T_2_375_7,270,27.0,3
